Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2021-01-22,77921.4140625,80524.77927887386,77921.4140625,79896.38077836981,30861661
2021-01-25,80255.46875,80704.32483920582,77472.56099692393,78100.95952181208,27258534
2021-01-26,77831.6484375,80075.92895761246,77652.105995891,79716.84407439447,33178936
2021-01-27,76844.171875,78729.36768034463,76844.171875,77741.88416325934,26423070
2021-01-28,75138.5078125,76844.16091696535,74689.65173237755,74689.65173237755,31859808
2021-01-29,73612.3984375,76305.53496570123,73612.3984375,75856.67887766768,39615978
2021-02-01,74510.125,74869.20993975904,72714.70030120482,73343.09894578313,28046832
2021-02-02,75766.9140625,77562.3385663507,75138.51548615225,75497.6003869224,26302077
2021-02-03,75946.4375,76664.6071217494,74869.18306737588,76125.97990543736,22112205
2021-02-04,74061.2578125,75228.28369318182,73702.17292613637,74958.9700284091,24171688
2021-02-05,74958.96875,75407.8248502994,74061.2565494012,74599.88386976048,18036835
2021-02-08,74510.125,75587.3798192771,74510.125,75228.29487951807,15338765
2021-02-09,74240.796875,76125.99244256348,74240.796875,75407.8227025393,20898332
2021-02-10,73253.3046875,74151.01675474878,73253.3046875,74151.01675474878,23025766
2021-02-15,75587.3515625,75856.66516664192,74779.41075007422,75228.26675697743,23529706
2021-02-16,76215.7734375,77203.25695671378,75587.37483436396,75856.68852142226,20483100
2021-02-17,74689.65625,75587.36846454327,74510.11380709134,75318.05480018028,18307735
2021-02-18,73702.1640625,75048.73222442143,73702.1640625,74689.64738124238,21327683
2021-02-19,74151.0390625,74330.58152996367,72714.69932279056,73881.72536130447,25880879
2021-02-22,73791.9453125,75587.36977265814,73791.9453125,75228.28488062652,25419886
2021-02-23,73612.3984375,74420.33939596037,72804.45747903964,72894.22869664634,20587314
2021-02-24,73612.3984375,75048.73791920731,72983.99991425306,73432.85600228659,26807651
2021-02-25,76574.8515625,76664.62278355804,74510.1134781653,75407.82568874561,34155986
2021-02-26,74061.2578125,74869.19880681818,73612.40170454545,74330.57147727272,38520800
2021-03-02,75048.7578125,76574.8689163427,74510.13036408492,76395.32643353767,33498180
2021-03-03,75407.8359375,75407.8359375,74330.58113839285,74958.97977120536,19882132
2021-03-04,73971.4921875,74689.6620145631,73791.94973073422,74151.03464426578,24348331
2021-03-05,73702.1640625,74151.02011647381,72804.45195455237,72804.45195455237,20508971
2021-03-08,73612.3984375,74510.11061356707,73253.31356707317,74420.33939596037,17641256
2021-03-09,73073.78125,73522.63740018428,72355.61140970516,73073.78125,25420764
2021-03-10,72624.921875,74061.26149181087,72445.37942289864,73971.49026576019,20038422
2021-03-11,73612.3984375,74061.25452553354,72714.68626143293,72714.68626143293,23818297
2021-03-12,74330.5859375,74958.98461088467,73971.50098128019,74599.89965466486,13530573
2021-03-15,73432.84375,74420.32697891198,73432.84375,74330.55577628361,13735798
2021-03-16,74330.5859375,74510.1284156099,73702.18726411533,73791.95850317029,12293537
2021-03-17,73881.71875,74420.34610419198,73612.405072904,74330.57487849332,11625146
2021-03-18,74420.3359375,75228.27685841375,74151.0222971954,74330.56472406513,18585244
2021-03-19,73522.640625,74061.26802884616,73432.86939102564,73702.18309294872,15869700
2021-03-22,73612.3984375,73881.71209032013,73343.08478467989,73612.3984375,12670506
2021-03-23,73432.84375,74420.32697891198,73432.84375,74151.0133710269,13299907
2021-03-24,72714.703125,73253.33055555556,72445.38940972222,72714.703125,17926638
2021-03-25,72894.2265625,73702.16749730603,72535.1417025862,72714.6841325431,14758826
2021-03-26,73163.546875,73253.3180981595,72714.69075920245,73073.7756518405,12845778
2021-03-29,73253.3046875,73343.07589422488,72714.67744715074,73343.07589422488,14952134
2021-03-30,74119.8515625,74210.02169822081,73308.32034101278,73578.83074817518,13121698
2021-03-31,73398.4921875,74570.70397919226,73398.4921875,74300.19356572483,17240518
2021-04-01,74751.046875,74841.21701598311,73939.51560615198,74390.36631106754,18676461
2021-04-02,76464.265625,76824.94612323113,75652.73450397995,75742.90462853773,22997538
2021-04-05,77005.3046875,77546.32556352459,76464.28381147541,77365.98527151639,16255990
2021-04-06,77546.3203125,77726.66059229651,76734.7890534157,77726.66059229651,19042023
2021-04-07,77185.6171875,77726.63786872079,77005.2769604264,77636.467755184,17885538
2021-04-08,76374.1015625,77275.80287964876,75833.08077221074,77275.80287964876,19244259
2021-04-09,75382.2421875,76554.45408754486,75201.90189518541,76374.11379523027,18193707
2021-04-12,75021.5546875,75833.08592810998,74931.38454965445,75833.08592810998,12915282
2021-04-13,75742.90625,76193.75688244047,74660.86473214286,74841.20498511905,15238206
2021-04-14,75742.90625,76013.41662946428,75201.88549107143,75742.90625,13794652
2021-04-15,75833.078125,76193.75863926872,75201.88722502973,75472.39761073128,16377412
2021-04-16,75652.75,76374.1111442193,75382.23957091775,76374.1111442193,15429522
2021-04-19,75111.7421875,75742.93329831933,75111.7421875,75562.59298094237,15287311
2021-04-20,75652.75,75742.92014302741,74931.3888557807,75111.72914183552,15521965
2021-04-21,74480.546875,75292.07825741525,74390.37672139831,75111.73795021186,21636079
2021-04-22,74300.1953125,74841.21615215413,74300.1953125,74751.04601221177,13934746
2021-04-23,74660.875,74751.04513888889,73578.83333333333,73849.34375,17805080
2021-04-26,75292.0703125,75292.0703125,74480.53901571856,74751.04944797904,15489938
2021-04-27,74751.046875,75111.72743893244,74390.36631106754,75021.55729794933,12941533
2021-04-28,74029.6875,75021.55907429964,74029.6875,75021.55907429964,15596759
2021-04-29,73669.0,74390.36107711139,73488.65973072215,74300.19094247246,20000973
